News Title,News Date
"Ternyata, Ini Perbedaan Antivirus Kalbe Farma dan Indofarma",03 Oktober 2020 14:59 WIB
"Indofarma Siapkan 20.000 Antivirus, Ini Syarat Pengunaannya",03 Oktober 2020 13:27 WIB
Indofarma (INAF) Akan Jual Antivirus Desrem di Bawah Rp2 Juta,03 Oktober 2020 10:13 WIB
Anak Usaha Indofarma Siap Distribusi Vaksin Covid-19,28 September 2020 17:33 WIB
Erick Thohir Jelaskan Progres Vaksin Kimia Farma dan Indofarma,24 September 2020 10:25 WIB
6 Bulan Corona di Indonesia: Kejutan Emiten Farmasi di Masa Pandemi,02 September 2020 18:36 WIB
Erick Thohir: Indofarma Siapkan Fasilitas Test Covid-19 Super Cepat dan Murah  ,27 Agustus 2020 20:10 WIB
"Ada Perkembangan Vaksin Covid-19, Saham KAEF dan INAF Terbang Lagi",24 Agustus 2020 09:28 WIB
"Ada Perkembangan Terbaru Soal Vaksin, Akankah Saham KAEF dan INAF Terbang Pekan Depan?",22 Agustus 2020 15:15 WIB
"Bio Farma Uji Klinis Vaksin, Saham INAF dan KAEF Kompak Terdorong",11 Agustus 2020 14:46 WIB
"Gembok Suspensi Dibuka, Saham Kimia Farma (KAEF) & Indofarma (INAF) Melesat Lagi",10 Agustus 2020 12:47 WIB
"Gembok Saham KAEF dan INAF Dibuka Hari Ini, Akankah Kembali Diburu Investor?",10 Agustus 2020 06:31 WIB
75 Tahun Indonesia : Momen Krusial bagi Indofarma (INAF),09 Agustus 2020 14:53 WIB
"Pengumuman! Pekan Depan, Saham INAF dan KAEF Kembali Diperdagangkan",08 Agustus 2020 13:50 WIB
"Bursa Suspensi Saham Indofarma (INAF), Ini Kata Manajemen",07 Agustus 2020 19:47 WIB
"Bursa Suspensi 2 Saham BUMN Farmasi, Kimia Farma dan Indofarma",07 Agustus 2020 05:04 WIB
"IHSG Dibuka Menguat, Saham BUMN Farmasi Kembali Melesat",06 Agustus 2020 09:04 WIB
"10 Saham Top Gainers pada 5 Agustus, Emiten Farmasi Merajai",06 Agustus 2020 05:51 WIB
"Direksi Indofarma (INAF) Jual Seluruh Saham, Berapa Nilainya?",05 Agustus 2020 20:15 WIB
"Erick Thohir Pastikan Produksi Vaksin Covid pada 2020, Saham KAEF dan INAF Bugar Lagi",05 Agustus 2020 09:56 WIB
"Harga Saham Sama-sama Meroket, Kinerja Kimia Farma (KAEF) dan Indofarma (INAF) Berbeda Nasib",03 Agustus 2020 20:22 WIB
"Tahan Laba, Indofarma (INAF) Absen Bagi Dividen",29 Juli 2020 22:12 WIB
Erick Thohir Angkat Stafsus Menteri Terawan Jadi Komisaris di Kimia Farma dan Indofarma,29 Juli 2020 22:01 WIB
"Usai Terbang, Saham KAEF dan INAF Terhempas hingga Kena Auto Reject",28 Juli 2020 14:47 WIB
"10 Saham Paling Cuan 23 Juli, Emiten Farmasi Kuasai Papan Atas",23 Juli 2020 17:14 WIB
Lagi-Lagi! 4 Emiten Farmasi ARA Sejak Awal Perdagangan,23 Juli 2020 10:07 WIB
"Saham Farmasi Lanjutkan Reli, IHSG Menguat",22 Juli 2020 09:32 WIB
"IHSG Ditutup Menguat 1,26 Persen, Saham BUMN Farmasi Paling Melonjak",21 Juli 2020 15:12 WIB
"Penutupan Sesi I, Semua Emiten Farmasi Berjaya",21 Juli 2020 12:13 WIB
"Saham BUMN Farmasi Melejit, Terpantik Uji Coba Vaksin Covid-19",21 Juli 2020 12:12 WIB
"Saham Kimia Farma (KAEF) dan Indofarma (INAF) Melesat Lebih dari 15 Persen, Ada Apa Ya?",21 Juli 2020 09:22 WIB
"Incar Laba Bersih, Indofarma (INAF) Giatkan Bisnis Alkes",21 Juli 2020 08:44 WIB
"KABAR EMITEN: Emiten Sawit Kian Prospektif, Bisnis Alkes Bakal Topang Kinerja INAF",21 Juli 2020 07:47 WIB
EMITEN FARMASI : Bisnis Alkes Bakal Topang Kinerja INAF,21 Juli 2020 02:00 WIB
