DATE_PERIOD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL
2008-06-13,15/9-F-12,24.0,256.563,106.176,177.528,13.376,43.45261,79.035,80.429,5032.0
2008-06-14,15/9-F-12,22.67,259.003,106.158,177.314,11.666,38.5365,81.689,77.353,4332.0
2008-06-15,15/9-F-12,24.0,256.637,106.191,177.887,13.478,43.71837,78.75,80.817,5088.0
2008-06-16,15/9-F-12,24.0,256.865,106.2,178.031,13.615,43.74744,78.834,80.861,5102.0
2008-06-17,15/9-F-12,24.0,257.122,106.208,177.957,13.572,43.83344,79.166,79.866,5103.0
2008-06-18,15/9-F-12,24.0,257.439,106.215,178.079,13.56,43.81087,79.36,79.732,5135.0
2008-06-19,15/9-F-12,24.0,257.748,106.223,178.273,13.605,42.87523,79.475,79.68,5141.0
2008-06-20,15/9-F-12,23.5,259.65,106.208,177.667,12.932,40.89223,81.984,78.968,4722.0
2008-06-21,15/9-F-12,24.0,258.762,106.219,178.304,13.704,42.8308,80.459,80.738,5038.0
2008-06-22,15/9-F-12,24.0,258.429,106.234,178.614,13.677,42.81797,79.815,79.341,5147.0
2008-06-23,15/9-F-12,24.0,258.849,106.24,178.795,13.802,43.44097,80.054,80.478,5115.0
2008-06-24,15/9-F-12,24.0,259.124,106.246,179.018,13.986,42.54713,80.106,80.874,5124.0
2008-06-25,15/9-F-12,24.0,259.314,106.252,178.925,14.022,43.48804,80.39,80.024,5135.0
2008-06-26,15/9-F-12,15.83,259.96,106.248,178.766,13.534,42.24035,81.195,79.571,4233.0
2008-06-27,15/9-F-12,24.0,259.662,106.253,179.24,13.923,43.45684,80.422,80.98,5126.0
2008-06-28,15/9-F-12,24.0,259.611,106.258,179.116,14.164,43.49251,80.495,81.106,5076.0
2008-06-29,15/9-F-12,24.0,259.687,96.227,179.477,13.964,43.49195,80.21,80.387,5121.0
2008-06-30,15/9-F-12,24.0,245.4,80.041,159.676,13.224,39.40927,85.724,79.622,4372.0
2008-07-01,15/9-F-12,22.67,264.333,106.188,177.107,11.737,36.96231,87.226,77.109,3981.0
2008-07-02,15/9-F-12,24.0,260.34,106.262,179.208,13.296,43.20357,81.132,79.224,5115.0
2008-07-03,15/9-F-12,24.0,260.494,106.269,179.097,14.015,42.98895,81.397,80.075,5084.0
2008-07-04,15/9-F-12,24.0,260.666,106.274,179.351,14.217,42.97349,81.315,81.247,5081.0
2008-07-05,15/9-F-12,24.0,260.792,106.279,179.515,14.284,42.97301,81.278,81.428,5086.0
2008-07-06,15/9-F-12,24.0,260.885,106.284,179.532,14.294,42.98479,81.353,81.382,5088.0
2008-07-07,15/9-F-12,24.0,260.939,106.285,179.438,14.276,43.00275,81.501,81.049,5095.0
2008-07-08,15/9-F-12,24.0,261.152,106.293,179.481,14.24,42.97861,81.671,80.105,5096.0
2008-07-09,15/9-F-12,24.0,261.374,106.297,179.803,14.453,42.94835,81.571,81.684,5094.0
2008-07-10,15/9-F-12,21.35,261.49,106.298,179.806,14.519,42.96093,81.684,81.541,4622.0
2008-07-11,15/9-F-12,13.17,263.098,106.263,178.817,11.929,40.25518,84.282,78.206,2856.0
2008-07-13,15/9-F-12,24.0,264.305,106.198,177.039,10.422,47.85813,87.266,79.085,4169.0
2008-07-14,15/9-F-12,23.25,264.456,106.164,175.742,11.077,44.35988,88.715,77.03,3819.0
2008-07-15,15/9-F-12,24.0,260.22,106.189,176.255,12.679,48.69365,83.965,79.15,4305.0
2008-07-16,15/9-F-12,24.0,263.304,106.116,173.532,11.593,44.46811,89.772,78.346,3527.0
2008-07-17,15/9-F-12,24.0,264.58,106.091,172.957,11.111,42.87977,91.623,78.421,3342.0
2008-07-18,15/9-F-12,24.0,265.288,106.078,172.614,10.838,42.0441,92.674,77.956,3216.0
2008-07-19,15/9-F-12,24.0,265.651,106.071,172.479,10.576,41.69155,93.172,77.325,3176.0
2008-07-20,15/9-F-12,24.0,265.733,106.07,172.558,10.462,41.65428,93.175,77.235,3186.0
2008-07-21,15/9-F-12,24.0,265.757,106.07,172.53,10.437,41.6589,93.227,77.007,3183.0
2008-07-22,15/9-F-12,24.0,265.848,106.069,172.603,10.574,41.65539,93.245,77.575,3167.0
2008-07-23,15/9-F-12,24.0,265.846,106.07,172.523,10.534,41.66181,93.323,77.651,3149.0
2008-07-24,15/9-F-12,24.0,265.851,106.069,172.551,10.512,41.66942,93.299,77.555,3149.0
2008-07-25,15/9-F-12,24.0,265.911,106.07,172.445,10.445,41.69731,93.466,76.641,3163.0
2008-07-26,15/9-F-12,24.0,266.022,106.071,172.448,10.483,41.6702,93.575,76.676,3145.0
2008-07-27,15/9-F-12,24.0,266.075,106.057,172.474,10.526,41.64633,93.6,76.926,3177.0
2008-07-28,15/9-F-12,24.0,266.154,106.072,172.6,10.617,41.63665,93.554,77.857,3143.0
2008-07-29,15/9-F-12,24.0,265.133,106.087,173.066,10.799,42.95633,92.066,76.712,3346.0
2008-07-30,15/9-F-12,24.0,270.571,106.006,172.046,8.509,33.33069,98.526,71.509,2434.0
2008-07-31,15/9-F-12,24.0,271.248,105.938,173.499,6.121,31.97885,97.748,64.397,2317.0
2008-08-01,15/9-F-12,24.0,267.574,106.064,172.233,9.809,40.14273,95.34,75.224,2976.0
2008-08-02,15/9-F-12,24.0,267.471,106.068,176.968,9.567,38.32368,90.503,72.348,3032.0
2008-08-03,15/9-F-12,24.0,267.482,106.068,172.334,10.136,40.23154,95.148,76.625,2993.0
2008-08-04,15/9-F-12,24.0,267.326,105.991,172.357,10.149,40.14094,94.968,77.266,3093.0
2008-08-05,15/9-F-12,24.0,267.402,106.066,172.433,10.171,40.22204,94.969,77.168,2999.0
2008-08-06,15/9-F-12,7.53,267.928,106.062,172.611,10.036,36.88709,95.316,76.142,920.0
2008-08-09,15/9-F-12,24.0,261.384,106.11,175.872,8.87,47.51018,85.512,77.368,4060.0
2008-08-10,15/9-F-12,24.0,259.031,106.158,175.555,11.856,49.18402,83.477,79.31,4349.0
